sample,grain_number,AFT_age,AFT_age_1sigma,AFT_age_stderr_min,AFT_age_stderr_plus,Dpar
RH10,,9.52611766130183,28.4,28.4,28.4,1.08
RH10,,3.23174634710542,9.69,9.69,9.69,1.07
RH10,,20.8493234887773,61.92,61.92,61.92,1.24
RH10,,4.31565016823517,12.92,12.92,12.92,1.38
RH10,,7.00644565216931,20.94,20.94,20.94,0.95
RH10,,5.45855667524162,16.36,16.36,16.36,1.24
RH10,,6.61247550477734,19.84,19.84,19.84,1.12
RH10,,1.53693636618593,4.62,4.62,4.62,1.34
RH10,,1.82189325821594,5.45,5.45,5.45,1.35
RH10,,7.86239691824375,23.45,23.45,23.45,1.13
RH10,,4.04922728935388,4.06,4.06,4.06,1.15
RH10,,7.57421428500917,7.58,7.58,7.58,1.13
RH10,,13.8404918383283,13.88,13.88,13.88,1.2
RH10,,11.6214902181547,11.61,11.61,11.61,1.18
RH10,,11.023612705491,11.01,11.01,11.01,1.17
RH10,,2.7129676520878,2.71,2.71,2.71,1.31
RH10,,5.95025953995266,5.98,5.98,5.98,1.2
RH10,,8.21408460901905,8.22,8.22,8.22,1.2
RH10,,7.60879509819386,7.62,7.62,7.62,1.1
RH10,,22.1375604866334,22.2,22.2,22.2,0.98
RH10,,8.56882040499569,8.57,8.57,8.57,1.32
RH10,,2.81543623363825,2.83,2.83,2.83,1.42
RH10,,28.2829145617183,28.44,28.44,28.44,1
RH10,,2.00053059614069,2,2,2,1.14
RH10,,16.3649184911563,16.36,16.36,16.36,1.14
RH10,,38.9908370406005,27.74,27.74,27.74,1.09
RH10,,11.3186289729257,8.01,8.01,8.01,1.2
RH10,,9.85020535065123,5.72,5.72,5.72,1.35
RH10,,8.6117289568197,5,5,5,1.23
RH15,,4.05167313411671,12.14,12.14,12.14,1.03
RH15,,14.4698046531766,43.12,43.12,43.12,1.25
RH15,,6.9283742474249,6.97,6.97,6.97,1.34
RH15,,4.69403044524636,14.08,14.08,14.08,1.26
RH15,,7.12701652681798,21.25,21.25,21.25,1.24
RH15,,4.21185645984495,12.6,12.6,12.6,1.12
RH15,,7.52835171851932,22.55,22.55,22.55,1.12
RH15,,3.82318497494324,3.84,3.84,3.84,1.28
RH15,,36.0561737622584,25.55,25.55,25.55,1.61
RH15,,7.63859853148222,22.81,22.81,22.81,1.2
RH15,,1.0399121958017,3.13,3.13,3.13,1.09
RH15,,2.47726567611576,2.48,2.48,2.48,1.51
RH15,,4.00812029741721,2.02,2.02,2.02,1.35
RH15,,19.922152542782,59.26,59.26,59.26,0.9
RH15,,15.8737135477698,15.95,15.95,15.95,2.52
RH15,,0.5223101375103,1.57,1.57,1.57,1.28
RH25,,7.32618161630011,21.91,21.91,21.91,1.3
RH25,,91.8451618548161,266.2,266.2,266.2,0.85
RH25,,2.77378279674798,8.32,8.32,8.32,0.94
RH25,,1.17045391198909,0.83,0.83,0.83,1.16
RH25,,27.0924197220915,27.11,27.11,27.11,1.38
RH25,,5.61088563777728,16.85,16.85,16.85,1.23
RH30a,,16.0821646990936,7.31,7.31,7.31,1.26
RH30a,,38.7652631102267,22.56,22.56,22.56,1.41
RH30a,,22.3946552524463,11.3,11.3,11.3,1.23
RH30a,,1.21018562264648,3.63,3.63,3.63,1.2
RH30a,,9.69194334621026,3.69,3.69,3.69,0.99
RH30a,,24.2397182578278,10.09,10.09,10.09,1.08
RH30a,,6.2269772891455,3.61,3.61,3.61,1.13
RH30a,,18.0544041361663,8.14,8.14,8.14,1.33
RH30a,,17.520580543735,5.4,5.4,5.4,1.36
RH30a,,12.2728697923934,3.77,3.77,3.77,1.37
RH30a,,22.4916111225351,8.19,8.19,8.19,1.3
RH30a,,10.3053208177027,3.7,3.7,3.7,1.36
RH30a,,22.7697958163175,6.97,6.97,6.97,1.34
RH30a,,18.9417319704142,8.52,8.52,8.52,1.44
RH30a,,28.0889525705215,8.27,8.27,8.27,1.2
RH30a,,18.612335651275,5.56,5.56,5.56,1.31
RH30a,,6.0905054339075,4.33,4.33,4.33,1.27
RH30a,,13.7323466626819,3.81,3.81,3.81,1.33
RH30a,,8.09556391890862,3.11,3.11,3.11,1.21
RH30a,,26.370182214064,8.45,8.45,8.45,1.36
RH30a,,13.5078017437875,3.27,3.27,3.27,1.49
RH30a,,16.2467816988377,5.49,5.49,5.49,1.29
RH30a,,4.9915711841786,2.89,2.89,2.89,1.27
RH30a,,22.7875101095981,5.42,5.42,5.42,1.34
RH30b,,6.53807064691677,1.6,1.6,1.6,1.11
RH30b,,5.80006040099407,3.36,3.36,3.36,1.17
RH30b,,12.3178239668892,5.09,5.09,5.09,1.09
RH30b,,10.8769498361378,4.18,4.18,4.18,1.32
RH30b,,1.89007618448871,1.35,1.35,1.35,1.23
RH30b,,11.6050988395956,4.46,4.46,4.46,1.09
RH30b,,14.9044340279154,5.37,5.37,5.37,1.14
RH30b,,2.59633788460407,1.51,1.51,1.51,1.3
RH30b,,3.50741619121995,2.49,2.49,2.49,1.2
RH30b,,6.22550426257835,2.38,2.38,2.38,1.14
RH30b,,0.37021942542559,0.37,0.37,0.37,1.3
RH30b,,4.16443777578002,2.12,2.12,2.12,1.02
RH30b,,9.57283589188543,28.62,28.62,28.62,1.1
RH30b,,8.73897375213514,3.94,3.94,3.94,1.21
RH30b,,9.43869963755269,3.92,3.92,3.92,1.2
RH30b,,20.2357752464484,5.6,5.6,5.6,1.18
RH30b,,16.2713892104719,3.99,3.99,3.99,1.3
RH30b,,10.6399272047804,5.35,5.35,5.35,1.03
RH30b,,12.4483345976085,5.6,5.6,5.6,1.09
RH30b,,5.37555233904098,2.72,2.72,2.72,1.12
RH30b,,11.2298439645982,5.67,5.67,5.67,1.12
RH30b,,4.20266863354973,2.12,2.12,2.12,1.19
RH30b,,5.79863386246929,2.4,2.4,2.4,1.33
RH30b,,12.017490433465,4.32,4.32,4.32,1.16
RH30b,,0.79429910877161,0.57,0.57,0.57,1.22
RH35,,22.7621769085174,67.66,67.66,67.66,1.34
RH35,,25.0773361247703,74.55,74.55,74.55,1.48
RH35,,4.039161471864,4.04,4.04,4.04,1.26
RH35,,14.5806102167621,43.47,43.47,43.47,1.32
RH35,,7.87762522050704,3,3,3,1.19
RH35,,11.7014900812,6.77,6.77,6.77,1.23
RH35,,24.3773535591449,8.68,8.68,8.68,1.38
RH35,,35.4111927736862,10.3,10.3,10.3,1.89
RH35,,60.530082902219,60.56,60.56,60.56,1.39
RH35,,19.3313658831499,57.53,57.53,57.53,1.49
RH40,,16.5982165317762,16.62,16.62,16.62,0.51
RH40,,1.92128371274712,1.92,1.92,1.92,0.34
