well,sample_id,depth_top,depth_bottom,depth,aft_age,aft_age_min_95ci,aft_age_plus_95ci,Dpar
KDK-01,KDK01-5,2126,2126,2126,244.6275482178,-111.7903594971,202.6611175537,
KDK-01,KDK01-5,2126,2126,2126,0,0,184.3352966309,
KDK-01,KDK01-5,2126,2126,2126,0,0,363.5465087891,
KDK-01,KDK01-5,2126,2126,2126,85.7331619263,-46.5366859436,100.9938430786,
KDK-01,KDK01-5,2126,2126,2126,149.364074707,-65.6486968994,116.0807342529,
KDK-01,KDK01-5,2126,2126,2126,281.4521484375,-149.7244873047,312.2470397949,
KDK-01,KDK01-5,2126,2126,2126,0,0,105.9788818359,
KDK-01,KDK01-5,2126,2126,2126,235.0185852051,-103.5182876587,182.4129486084,
KDK-01,KDK01-5,2126,2126,2126,159.0461578369,-60.3619880676,96.5587081909,
KDK-01,KDK01-5,2126,2126,2126,132.8746643066,-81.067565918,204.6439361572,
KDK-01,KDK01-5,2126,2126,2126,244.6275482178,-229.9593353271,3009.720703125,
KDK-01,KDK01-5,2126,2126,2126,79.4215087891,-30.2027816772,48.5534934998,
KDK-01,KDK01-5,2126,2126,2126,180.7710723877,-58.8493766785,86.671585083,
KDK-01,KDK01-5,2126,2126,2126,55.1694221497,-43.6507949829,205.7519226074,
KDK-01,KDK01-5,2126,2126,2126,100.7860488892,-51.9800186157,106.4578170776,
KDK-01,KDK01-5,2126,2126,2126,153.0541992188,-52.2833595276,78.9259643555,
KDK-01,KDK01-5,2126,2126,2126,95.1890792847,-39.8145294189,68.0811386108,
KDK-01,KDK01-5,2126,2126,2126,131.113067627,-60.0117340088,109.7262420654,
NDW-01,NDW01-1,2648,2651,2649.5,132.920715332,-33.7518005371,45.0815391541,
NDW-01,NDW01-1,2648,2651,2649.5,141.6446838379,-48.3309936523,72.9503479004,
NDW-01,NDW01-1,2648,2651,2649.5,159.937713623,-48.47605896,69.1874313354,
NDW-01,NDW01-1,2648,2651,2649.5,141.1566925049,-33.9570388794,44.5595169067,
NDW-01,NDW01-1,2648,2651,2649.5,157.8144378662,-79.537322998,158.3974304199,
NDW-01,NDW01-1,2648,2651,2649.5,68.1609420776,-37.4441757202,82.5587463379,
NDW-01,NDW01-1,2648,2651,2649.5,114.139579773,-40.0401687622,61.3836021423,
NDW-01,NDW01-1,2648,2651,2649.5,80.2570724487,-41.4590873718,85.1969833374,
NDW-01,NDW01-1,2648,2651,2649.5,185.7357177734,-155.604598999,894.2553710938,
NDW-01,NDW01-1,2648,2651,2649.5,116.1461029053,-51.6946678162,92.4920120239,
NDW-01,NDW01-1,2648,2651,2649.5,121.4169006348,-37.1786727905,53.3665466309,
NDW-01,NDW01-1,2648,2651,2649.5,77.8024673462,-32.7999038696,56.4583282471,
NDW-01,NDW01-1,2648,2651,2649.5,152.3611297607,-78.5372314453,160.0885620117,
NDW-01,NDW01-1,2648,2651,2649.5,133.0513000488,-44.6582107544,66.8733444214,
NDW-01,NDW01-1,2648,2651,2649.5,0,0,33.8297348022,
NDW-01,NDW01-1,2648,2651,2649.5,0,0,276.6348876953,
NDW-01,NDW01-1,2648,2651,2649.5,51.7083816528,-26.939371109,55.9955711365,
NDW-01,NDW01-1,2648,2651,2649.5,65.6178665161,-23.3447780609,36.1352958679,
NDW-01,NDW01-1,2648,2651,2649.5,21.7061386108,-18.9904098511,150.0265960693,
NDW-01,NDW01-1,2648,2651,2649.5,72.86769104,-28.9478302002,47.8497123718,
NDW-01,NDW01-2,2811,2815,2813,23.6475067139,-13.0423021317,29.0163784027,
NDW-01,NDW01-2,2811,2815,2813,29.5049705505,-13.7138395309,25.5728912354,
NDW-01,NDW01-2,2811,2815,2813,84.0600814819,-30.7978210449,48.4239845276,
NDW-01,NDW01-2,2811,2815,2813,49.7416648865,-23.6528739929,44.9403953552,
NDW-01,NDW01-2,2811,2815,2813,81.3655014038,-42.4523849487,88.1610565186,
NDW-01,NDW01-2,2811,2815,2813,85.3447952271,-34.1192054749,56.5957794189,
NDW-01,NDW01-2,2811,2815,2813,55.6024475098,-27.3974285126,53.7855873108,
NDW-01,NDW01-2,2811,2815,2813,82.6200180054,-34.6893424988,59.5201683044,
