strat_unit,well,depth_top,depth_bottom,deposition_code,present-day_thickness,age_bottom,age_top,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2,density,surface_porosity,compressibility,thermal_conductivity,heat_capacity,heat_production,matrix_thickness,initial_thickness,eroded_thickness,maximum_depth_top,maximum_depth_bottom,maximum_depth_top_temp,maximum_depth_bottom_temp,maximum_burial_thickness_temp
RBSHN,NDW-01,2479.6666666666665,2577.0,1.0,97.33333333333333,251.0,250.43333333333334,0.3,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.33099999999999996,0.0004455,3.4000000000000004,900.0,1.25e-06,86.88742397239164,128.1019342930747,0.0,2479.6666666666665,2577.0,1722.035075193857,1824.2846149855868,102.24953979172975
~ZE-RBSHN,,,,0.0,0.0,255.0,251.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
ZE,NDW-01,2577.0,2639.0,1.0,62.0,260.0,255.0,0.0,0.0,0.0,0.35,0.35,0.0,0.0,0.15,0.15,0.0,430.0,428.0,300.0,1.0,2650.0,0.4,0.0005915,3.6449999999999996,900.0,1.2499999999999999e-06,56.697026555979,92.82675453015975,0.0,2577.0,2639.0,1824.2846149855868,1889.7058922726956,65.42127728710886
ROSL,NDW-01,2639.0,2648.0,1.0,9.0,266.0,260.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.3,0.000395,3.5,900.0,1.25e-06,8.049654998086691,11.488352631278493,0.0,2639.0,2648.0,1889.7058922726956,1899.0861763172784,9.380284044582826
-DCCU_a_0,,,,-1.0,0.0,267.05175401069516,266.0,,,,,,,,,,,,,,,,,,,,,,,99.73529411764706,1899.0861763172784,,1899.0861763172784,,
-DCCU_a_1,,,,-1.0,0.0,268.1035080213904,267.0517540106952,,,,,,,,,,,,,,,,,,,,,,,99.73529411764706,0.0,,0.0,,
-DCCU_a_2,,,,-1.0,0.0,269.15526203208555,268.1035080213904,,,,,,,,,,,,,,,,,,,,,,,99.73529411764706,0.0,,0.0,,
-DCCU_a_3,,,,-1.0,0.0,270.2070160427807,269.15526203208555,,,,,,,,,,,,,,,,,,,,,,,99.73529411764706,0.0,,0.0,,
-DCCU_a_4,,,,-1.0,0.0,271.2587700534759,270.20701604278077,,,,,,,,,,,,,,,,,,,,,,,99.73529411764706,0.0,,0.0,,
-DCCU_a_5,,,,-1.0,0.0,272.3105240641711,271.2587700534759,,,,,,,,,,,,,,,,,,,,,,,99.73529411764706,0.0,,0.0,,
